building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,officeID,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2
309,Male,_50-60,Administrative,Glasses,never,0-2,---,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,4.0,309a,4,0,0,0,0,0,0
309,Male,_30-39,Technical,None,never,2-4,southwest,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,309a,4,0,0,0,0,0,0
309,Male,_30-39,Technical,None,former,0-2,---,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,309a,4,0,0,0,0,0,0
309,Male,_40-49,Administrative,None,never,0-2,southwest,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_1-5,4.0,3.0,309a,4,0,0,0,0,0,0
309,,_40-49,Administrative,Glasses,former,2-4,southwest,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,_0,_1-5,1.0,1.0,309a,4,0,0,0,0,0,0
309,,_30-39,Technical,None,former,2-4,south,shared,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,_1-5,_1-5,3.0,3.0,309a,4,0,0,0,0,0,0
309,Male,_30-39,Technical,None,former,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,5.0,3.0,309b,4,0,0,0,0,1,0
310,Female,_40-49,Administrative,Contacts,current,0-2,southeast,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,,False,_10+,_0,1.0,1.0,310a,3,1,1,1,1,1,1
310,Female,_20-29,Administrative,None,current,0-2,southeast,withPartitions,>5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,1.0,310a,3,0,0,0,0,0,0
310,Male,_40-49,Managerial,Glasses,never,0-2,south,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,_1-5,_1-5,2.0,2.0,310a,3,1,1,1,1,1,1
310,Male,_20-29,Administrative,None,current,2-4,south,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,----,----,5.0,5.0,310a,3,0,0,0,0,0,0
312,Male,_20-29,Administrative,Glasses,never,2-4,west,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,,False,_0,_0,2.0,2.0,312c,3,0,0,0,0,0,0
312,Male,_30-39,Administrative,None,never,0-2,southwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,,True,_0,_0,2.0,2.0,312c,3,0,0,0,0,0,0
312,Male,_30-39,Administrative,None,never,0-2,west,withPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,,False,_1-5,_0,4.0,3.0,312a,3,0,0,0,0,0,0
312,Female,_30-39,Administrative,Glasses,former,0-2,south,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,4.0,312c,3,0,0,0,0,0,0
312,Male,_40-49,Administrative,None,never,0-2,south,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,312a,3,0,0,0,0,0,0
312,Male,_>60,Technical,Glasses,never,0-2,north,withPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_0,_0,,5.0,312a,3,0,0,0,0,0,0
312,Female,_40-49,Managerial,None,never,0-2,southwest,single,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,3.0,312a,3,0,0,0,0,0,0
312,Male,_20-29,Administrative,Glasses,never,0-2,south,withoutPartitions,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,2.0,2.0,312a,3,1,1,1,1,1,1
312,Female,_50-60,Administrative,Glasses,former,0-2,northwest,shared,2-3,>5,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,_1-5,_0,3.0,1.0,312c,3,0,0,0,0,0,0
312,Female,_30-39,Administrative,None,never,0-2,west,withPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,1.0,312a,3,0,0,0,0,0,0
312,Female,_40-49,Managerial,None,never,0-2,south,single,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,_0,_0,5.0,4.0,312c,3,0,1,1,0,1,1
312,Male,_40-49,Administrative,Glasses,never,0-2,southwest,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,_0,_0,2.0,3.0,312c,3,0,0,0,0,0,0
312,Male,_30-39,Administrative,None,never,0-2,norhteast,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,312c,3,0,0,0,0,0,0
312,Female,_50-60,Administrative,Glasses,former,0-2,south,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,----,----,2.0,2.0,312c,3,0,0,0,0,0,0
312,Male,_50-60,Administrative,Glasses,former,0-2,south,shared,2-3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,312b,3,0,0,0,0,0,0
312,Female,_30-39,Administrative,Glasses,never,0-2,south,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_1-5,2.0,2.0,312a,3,0,0,0,1,1,0
